Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Ghost_Risk_Score_Tier1,Tier,Confidence_Level,Priority,Infrastructure_Screening_Score,Qwen_Fraud_Flag,Qwen_Fraud_Reason
Real (Census),32410223,GPS THUL SAIDAN,RAJANPUR,JAMPUR,Primary,Functional,No,,1.0,,,23.0,,4,2,Yes-Wholly,No,No,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,37.5,False,
Real (Census),37320082,GPS SOHAWA PHAPHIRAL,RAWALPINDI,MURREE,Primary,Functional,No,,3.0,,,52.0,,2,2,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,False,
Real (Census),31150222,GGPS DAB WALI,BAHAWALNAGAR,MINCHINABAD,Primary,Functional,No,,4.0,,,142.0,,4,3,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,31.25,False,
Real (Census),32330665,GPS CHIMROO WALI,MUZAFFARGARH,MUZAFFARGARH,Primary,Functional,No,,4.0,,,89.0,,2,0,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,35.0,False,
Real (Census),37360182,GPS RAIPA,RAWALPINDI,GUJAR KHAN,Primary,Functional,No,,,,,16.0,,1,0,Yes-Wholly,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,40.0,False,
Real (Census),37350011,GHS SURBA,RAWALPINDI,KOTLI SATTIAN,High,Functional,No,,11.0,,,194.0,,8,6,No,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,36.25,False,
Real (Census),37350153,GGPS BADNIAN,RAWALPINDI,KOTLI SATTIAN,Primary,Functional,No,,4.0,,,45.0,,1,1,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,False,
Real (Census),34120519,GMPS JOKHIAN,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,6.0,,,160.0,,4,3,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,31.25,False,
Real (Census),37350096,GPS KHAL CHATTAR,RAWALPINDI,KOTLI SATTIAN,Primary,Functional,No,,4.0,,,25.0,,2,2,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,False,
Real (Census),32120005,GHS BHANBHAN,D.G. KHAN,TAUNSA,High,Functional,No,,19.0,,,522.0,,8,4,Yes-Wholly,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,27.5,False,
Real (Census),31320001,GHSS FEROZAA,RAHIMYAR KHAN,LIAQATPUR,H.Sec.,Functional,No,,47.0,,,1416.0,,8,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 8,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,18.75,False,
Real (Census),32120041,GGHS KOT MOHEE,D.G. KHAN,TAUNSA,High,Functional,No,,6.0,,,216.0,,8,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,18.75,False,
Real (Census),35210039,GHS IQBAL GARHI SHAHU,LAHORE,SHALIMAR,High,Functional,No,,19.0,,,729.0,,7,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,21.43,False,
Real (Census),39330054,GHS 7-1R FAUJIAN,OKARA,RENALA KHURD,High,Functional,No,,14.0,,,342.0,,6,6,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),35220054,GHS SHAHDARA,LAHORE,CITY,High,Functional,No,,42.0,,,1344.0,,28,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,13.39,False,
Real (Census),31240443,GES CHAK NO.10/DRB,BAHAWALPUR,YAZMAN,Middle,Functional,No,,8.0,,,64.0,,2,2,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 8,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),32340004,GHS JHUGGI WALA,MUZAFFARGARH,JATOI,High,Functional,No,,28.0,,,841.0,,12,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 9,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,20.83,False,
Real (Census),32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,High,Functional,No,,6.0,,,87.0,,1,1,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,10.0,False,
Real (Census),37320274,GPS CHANGWARIAN,RAWALPINDI,MURREE,Primary,Functional,No,,1.0,,,33.0,,3,1,No,No,No,Complete Building Needs Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,56.67,False,
Real (Census),32420001,GHSS FAZILPUR,RAJANPUR,RAJANPUR,H.Sec.,Functional,No,,49.0,,,2009.0,,19,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,13.16,False,
Real (Census),35210824,GGHS CDG SHADMAN COLONY,LAHORE,CITY,High,Functional,No,,21.0,,,629.0,,6,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,16.67,False,
Real (Census),35210131,GES BADOKI,LAHORE,MODEL TOWN,Middle,Functional,No,,12.0,,,401.0,,6,6,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),35220183,GPS JANJATTY,LAHORE,RAIWIND,Primary,Functional,No,,4.0,,,151.0,,12,8,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,23.33,False,
Real (Census),35220056,GGHS JIA BAGGA RAIWIND ROAD,LAHORE,RAIWIND,High,Functional,No,,22.0,,,865.0,,9,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 10,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,16.67,False,
Real (Census),32410563,GGCMES TATAR WALA,RAJANPUR,JAMPUR,Middle,Functional,No,,13.0,,,183.0,,7,7,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),31210225,GPS CHAK MAKHDOOM,BAHAWALPUR,AHMADPUR EAST,Primary,Functional,No,,4.0,,,33.0,,1,1,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),39330018,GHS KAMMAN,OKARA,RENALA KHURD,High,Functional,No,,14.0,,,426.0,,6,6,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 10,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),31210206,GPS CHAK DAWANJ,BAHAWALPUR,AHMADPUR EAST,Primary,Functional,No,,4.0,,,77.0,,2,2,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,False,
Real (Census),32410242,GPS KHULCHAS,RAJANPUR,JAMPUR,Primary,Functional,No,,1.0,,,60.0,,5,0,Yes-Wholly,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,35.0,False,
Real (Census),37350183,GGPS CHALAWRA UPPER,RAWALPINDI,KOTLI SATTIAN,Primary,Functional,No,,4.0,,,38.0,,4,4,No,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,30.0,False,
Real (Census),32110506,GPS BAGH ALI MOLE,D.G. KHAN,D.G.KHAN,Primary,Functional,No,,4.0,,,48.0,,2,1,Yes-Wholly,No,No,Building Is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,37.5,False,
Real (Census),32320754,GPS THATHI HAMZA NO. 2,MUZAFFARGARH,KOT ADU,Primary,Functional,No,,3.0,,,23.0,,2,0,Yes-Wholly,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,35.0,False,
Real (Census),32220564,GMMS AOULAKH NASHEB,LAYYAH,KAROR LALISAN,sMosque,Functional,No,,4.0,,,113.0,,1,1,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,False,
Real (Census),37140013,GHS TARAP,ATTOCK,JAND,High,Functional,No,,17.0,,,407.0,,7,7,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),32430052,GPS HAFEEZ ABAD,RAJANPUR,ROJHAN,Primary,Functional,No,,5.0,,,170.0,,2,2,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,10.0,False,
Real (Census),37350027,GES OJANA,RAWALPINDI,KOTLI SATTIAN,Middle,Functional,No,,5.0,,,68.0,,4,4,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),39320043,GHS CHAK NO.12/1-R,OKARA,OKARA,High,Functional,No,,11.0,,,303.0,,6,6,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),36120106,GPS TERI WALA VILLAGE GANWEN SHUJABAD,MULTAN,SHUJA ABAD,Primary,Functional,No,,5.0,,,267.0,,2,2,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,False,
Real (Census),31150399,GMMS SAMOO WALI,BAHAWALNAGAR,MINCHINABAD,sMosque,Functional,No,,2.0,,,88.0,,0,0,No,No,Yes-Wholly,Partial Building is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,37.5,False,
Real (Census),31150407,GMMS MANASIRY RAM,BAHAWALNAGAR,MINCHINABAD,sMosque,Functional,No,,1.0,,,48.0,,0,0,No,No,Yes-Wholly,Building Is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,37.5,False,
Real (Census),31320431,GGPS BASTI HAFIZ GHULAM QADIR,RAHIMYAR KHAN,LIAQATPUR,Primary,Functional,No,,4.0,,,41.0,,2,0,Yes-Wholly,No,Yes-Wholly,Partial Building is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,35.0,False,
Real (Census),37350144,GGES CHOWKI WAGHAL,RAWALPINDI,KOTLI SATTIAN,Middle,Functional,No,,9.0,,,227.0,,3,3,No,Yes-Wholly,No,Partial Building is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,30.0,False,
Real (Census),34120401,GMPS OUJLA KALAN,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,6.0,,,179.0,,4,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,12.5,False,
Real (Census),34140427,GGHS MURALI WALA,GUJRANWALA,NOSHERA VIRKAN,High,Functional,No,,23.0,,,1245.0,,21,21,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34120345,GMPS CHAK SITTIA,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,3.0,,,151.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34140293,GGPS DEEPAY PUR,GUJRANWALA,NOSHERA VIRKAN,Primary,Functional,No,,2.0,,,33.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34120250,GPS KALAY WALA,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,3.0,,,137.0,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),31250141,GGPS BONGA YARANI,BAHAWALPUR,KHAIRPUR TAMEWALI,Primary,Functional,No,,,,,109.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),31210371,GGPS BASTI SULEMAN,BAHAWALPUR,AHMADPUR EAST,Primary,Functional,No,,,,,367.0,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),31240172,GPS CHAK NO.20/DNB (W),BAHAWALPUR,YAZMAN,Primary,Functional,No,,5.0,,,91.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),31230405,GGPS Riaz Khan Basti Chouhn,BAHAWALPUR,HASILPUR,Primary,Functional,No,,3.0,,,53.0,,2,2,Yes-Wholly,No,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,10.0,False,
Real (Census),31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,High,Functional,No,,13.0,,,420.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34410357,GGPS TOTEWALI,NAROWAL,NAROWAL,Primary,Functional,No,,6.0,,,116.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34420044,GGHS GUNGRAN,NAROWAL,SHAKARGARH,High,Functional,No,,13.0,,,349.0,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,8.33,False,
Real (Census),34430575,GGMPS BORI,NAROWAL,ZAFARWAL,Primary,Functional,No,,6.0,,,94.0,,5,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,10.0,False,
Real (Census),34420506,GGPS JODHEY,NAROWAL,SHAKARGARH,Primary,Functional,No,,6.0,,,152.0,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34420203,GPS TONDI,NAROWAL,SHAKARGARH,Primary,Functional,No,,3.0,,,77.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34310578,GMPS JANDUKAY GORAYA,SIALKOT,DASKA,Primary,Functional,No,,5.0,,,141.0,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,8.33,False,
Real (Census),34310564,GGES CHAK GILLAN SHARQI,SIALKOT,DASKA,Middle,Functional,No,,7.0,,,264.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34320411,GMPS ANOOLA,SIALKOT,PASRUR,Primary,Functional,No,,,,,182.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),34320591,GGPS DATA ZAIDKA,SIALKOT,PASRUR,Primary,Functional,No,,,,,122.0,,2,0,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,False,
Real (Census),34340049,GGHS BHOPAL WALA,SIALKOT,SAMBRIAL,High,Functional,No,,32.0,,,1054.0,,16,16,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),35110217,GPS JAJJAL,KASUR,CHUNIAN,Primary,Functional,No,,5.0,,,125.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),35130241,GPS ALPA SADHARI,KASUR,PATTOKI,Primary,Functional,No,,4.0,,,73.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),35120754,GGPS CHAH KANDLAN WALA,KASUR,KASUR,Primary,Functional,No,,3.0,,,120.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),35110260,GPS FATEH MUHAMMAD KALAN,KASUR,CHUNIAN,Primary,Functional,No,,,,,217.0,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),35130178,GPS KANVEEN BLAQA SING,KASUR,PATTOKI,Primary,Functional,No,,3.0,,,120.0,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),38330793,GGES TIBBA MEHRBAN SHAH,MIANWALI,PIPLAN,Middle,Functional,No,,8.0,,,182.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),38331081,GGCMS CHAK NO.4 DB,MIANWALI,PIPLAN,Primary,Functional,No,,6.0,,,194.0,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),38310049,GHS DALLA MIR WALA,MIANWALI,ISA KHEL,High,Functional,No,,13.0,,,406.0,,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,0.0,False,
Real (Census),38320408,GPS SHEIKHAN WALA,MIANWALI,MIANWALI,Primary,Functional,No,,5.0,,,68.0,,4,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,12.5,False,
