Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Ghost_Risk_Score_Tier1,Tier,Confidence_Level,Priority,Infrastructure_Screening_Score,Data_Risk_Reason,Qwen_Fraud_Flag,Qwen_Fraud_Reason,Latitude,Longitude,Percent_Built_Earliest,Percent_Built_Recent,Satellite_BuiltUp_Percent,Satellite_Density_Flag,Satellite_Risk_Reason,Final_GhostSchool_Reason,Satellite_Confidence
Real (Census),36130239,GPS RANA WAHIN,MULTAN,MULTAN SADAR,Primary,Functional,Yes,,4.0,,,221.0,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,Illegal occupation of the school building,False,,29.9302973,71.35893155,,,,NoData,,"The census-based data analysis shows illegal occupation of the school building. No usable satellite reading is available — the school could only be geocoded to its tehsil centre, and imagery there would not represent its actual location. The data indicators alone warrant prompt investigation, ideally combined with location verification during the visit.",Tehsil-Level
Real (Census),33110354,GGHS DECCAN SAMANABAD FSD,FAISALABAD,FAISALABAD CITY,High,Functional,Yes,,32.0,,,1356.0,,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,Illegal occupation of the school building,False,,31.386296,73.0676444,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows illegal occupation of the school building. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is a red flag and warrants prompt investigation.",Village-Level
Real (Census),37330149,GGHS JHANDA CHICHI,RAWALPINDI,RAWALPINDI,High,Functional,Yes,,31.0,,,709.0,,13,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,Illegal occupation of the school building,False,,33.6040754,73.0483807,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows illegal occupation of the school building. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is a red flag and warrants prompt investigation.",Village-Level
Real (Census),35210693,GGES KACHA,LAHORE,MODEL TOWN,Middle,Functional,Yes,,10.0,,,544.0,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,Illegal occupation of the school building,False,,31.4729999,74.3108542,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows illegal occupation of the school building. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is a red flag and warrants prompt investigation.",Village-Level
Real (Census),39220030,GGHS MC MODEL ARIFWALA,PAKPATTAN,ARIFWALA,High,Functional,Yes,,66.0,,,3021.0,,28,28,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,non_func_reason (source field): Building Illegally Occupied,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,35.0,Illegal occupation of the school building,False,,30.2944504,73.0589418,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows illegal occupation of the school building. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is a red flag and warrants prompt investigation.",Village-Level
Real (Census),31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,High,Functional,No,,4.0,,,36.0,,0,0,No,No,No,Building Is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,52.5,"No boundary wall, no drinking water and no toilets on premises",False,,28.760002,70.820985,,,,NoData,,"The census-based data analysis shows no boundary wall, no drinking water and no toilets on premises. No usable satellite reading is available — the school could only be geocoded to its tehsil centre, and imagery there would not represent its actual location. The data indicators alone warrant prompt investigation, ideally combined with location verification during the visit.",Tehsil-Level
Real (Census),33140395,GGPS CHAK 269 RB II SALONI,FAISALABAD,FAISALABAD SADDAR,Primary,Functional,No,,4.0,,,180.0,,3,1,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,31.67,Moderate toilet non-functionality (only 1 of 3 working) and no boundary wall,False,,31.3711401,73.0706582,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows moderate toilet non-functionality (only 1 of 3 working) and no boundary wall. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),32110836,GGCMS FEROZ WALA,D.G. KHAN,D.G. KHAN,Primary,Functional,No,,4.0,,,199.0,,5,1,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,30.0,Severe toilet non-functionality (only 1 of 5 working) and no electricity,False,,30.550891,70.595535,,,,NoData,,"The census-based data analysis shows severe toilet non-functionality (only 1 of 5 working) and no electricity. No usable satellite reading is available — the school could only be geocoded to its tehsil centre, and imagery there would not represent its actual location. The data indicators alone warrant a follow-up review.",Tehsil-Level
Real (Census),32410223,GPS THUL SAIDAN,RAJANPUR,JAMPUR,Primary,Functional,No,,1.0,,,23.0,,4,2,Yes-Wholly,No,No,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,37.5,"No drinking water, moderate toilet non-functionality (only 2 of 4 working) and no electricity",False,,29.6384224,70.5772492,96.88,93.75,93.75,High_Density,"Village-area shows 93.8% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 93.8% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no drinking water, moderate toilet non-functionality (only 2 of 4 working) and no electricity. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),37320082,GPS SOHAWA PHAPHIRAL,RAWALPINDI,MURREE,Primary,Functional,No,,3.0,,,52.0,,2,2,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,No boundary wall and no electricity,False,,33.9056829,73.392674,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall and no electricity. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),31150222,GGPS DAB WALI,BAHAWALNAGAR,MINCHINABAD,Primary,Functional,No,,4.0,,,142.0,,4,3,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,31.25,"No boundary wall, no electricity and moderate toilet non-functionality (only 3 of 4 working)",False,,30.0061639,73.2661567,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall, no electricity and moderate toilet non-functionality (only 3 of 4 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),32330665,GPS CHIMROO WALI,MUZAFFARGARH,MUZAFFARGARH,Primary,Functional,No,,4.0,,,89.0,,2,0,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,35.0,No functional toilets (0 of 2) and no electricity,False,,30.084183,71.1939667,100.0,90.62,90.62,High_Density,"Village-area shows 90.6% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 90.6% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no functional toilets (0 of 2) and no electricity. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),37360182,GPS RAIPA,RAWALPINDI,GUJAR KHAN,Primary,Functional,No,,,,,16.0,,1,0,Yes-Wholly,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,40.0,No functional toilets (0 of 1) and no drinking water,False,,33.2590018,73.3076163,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no functional toilets (0 of 1) and no drinking water. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),37350011,GHS SURBA,RAWALPINDI,KOTLI SATTIAN,High,Functional,No,,11.0,,,194.0,,8,6,No,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,36.25,"No boundary wall, no drinking water and moderate toilet non-functionality (only 6 of 8 working)",False,,33.8058076,73.5237431,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall, no drinking water and moderate toilet non-functionality (only 6 of 8 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),37350153,GGPS BADNIAN,RAWALPINDI,KOTLI SATTIAN,Primary,Functional,No,,4.0,,,45.0,,1,1,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,No boundary wall and no electricity,False,,33.8058076,73.5237431,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall and no electricity. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),34120519,GMPS JOKHIAN,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,6.0,,,160.0,,4,3,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,31.25,"No boundary wall, no electricity and moderate toilet non-functionality (only 3 of 4 working)",False,,32.0346163,74.3438688,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall, no electricity and moderate toilet non-functionality (only 3 of 4 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),37350096,GPS KHAL CHATTAR,RAWALPINDI,KOTLI SATTIAN,Primary,Functional,No,,4.0,,,25.0,,2,2,No,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,25.0,No boundary wall and no electricity,False,,33.8058076,73.5237431,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall and no electricity. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),32120005,GHS BHANBHAN,D.G. KHAN,TAUNSA,High,Functional,No,,19.0,,,522.0,,8,4,Yes-Wholly,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,27.5,No drinking water and moderate toilet non-functionality (only 4 of 8 working),False,,30.550891,70.595535,,,,NoData,,"The census-based data analysis shows no drinking water and moderate toilet non-functionality (only 4 of 8 working). No usable satellite reading is available — the school could only be geocoded to its tehsil centre, and imagery there would not represent its actual location. The data indicators alone warrant a follow-up review.",Tehsil-Level
Real (Census),31320001,GHSS FEROZAA,RAHIMYAR KHAN,LIAQATPUR,H.Sec.,Functional,No,,47.0,,,1416.0,,8,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 8,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,18.75,Severe toilet non-functionality (only 2 of 8 working),False,,28.760002,70.820985,100.0,,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows severe toilet non-functionality (only 2 of 8 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),32120041,GGHS KOT MOHEE,D.G. KHAN,TAUNSA,High,Functional,No,,6.0,,,216.0,,8,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,18.75,Severe toilet non-functionality (only 2 of 8 working),False,,30.550891,70.595535,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows severe toilet non-functionality (only 2 of 8 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),35210039,GHS IQBAL GARHI SHAHU,LAHORE,SHALIMAR,High,Functional,No,,19.0,,,729.0,,7,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,21.43,Severe toilet non-functionality (only 1 of 7 working),False,,31.5870311,74.3821182,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows severe toilet non-functionality (only 1 of 7 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
Real (Census),39330054,GHS 7-1R FAUJIAN,OKARA,RENALA KHURD,High,Functional,No,,14.0,,,342.0,,6,6,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,No boundary wall,False,,30.8782508,73.5998771,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),35220054,GHS SHAHDARA,LAHORE,CITY,High,Functional,No,,42.0,,,1344.0,,28,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,13.39,Moderate toilet non-functionality (only 13 of 28 working),False,,31.5831841,74.3184836,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows moderate toilet non-functionality (only 13 of 28 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),31240443,GES CHAK NO.10/DRB,BAHAWALPUR,YAZMAN,Middle,Functional,No,,8.0,,,64.0,,2,2,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 8,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,No boundary wall,False,,29.3483637,71.6954115,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),32340004,GHS JHUGGI WALA,MUZAFFARGARH,JATOI,High,Functional,No,,28.0,,,841.0,,12,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 9,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,20.83,Severe toilet non-functionality (only 2 of 12 working),False,,29.5105224,70.8459377,100.0,100.0,100.0,High_Density, 100% built-up area detected — clearly in a developed location,"Although satellite imagery shows 100% built-up around the school's exact location, suggesting a clearly developed location, the census-based data analysis shows severe toilet non-functionality (only 2 of 12 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",School-Level
Real (Census),32110043,GHS ROONGHAN,D.G. KHAN,D.G. KHAN,High,Functional,No,,6.0,,,87.0,,1,1,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 5,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,10.0,No electricity,False,,30.550891,70.595535,,,,NoData,,"The census-based data analysis shows no electricity. No usable satellite reading is available — the school could only be geocoded to its tehsil centre, and imagery there would not represent its actual location.",Tehsil-Level
Real (Census),37320274,GPS CHANGWARIAN,RAWALPINDI,MURREE,Primary,Functional,No,,1.0,,,33.0,,3,1,No,No,No,Complete Building Needs Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,High,56.67,"Moderate toilet non-functionality (only 1 of 3 working), no boundary wall and no drinking water",False,,33.9056829,73.392674,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows moderate toilet non-functionality (only 1 of 3 working), no boundary wall and no drinking water. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is a red flag and warrants prompt investigation.",Village-Level
Real (Census),32420001,GHSS FAZILPUR,RAJANPUR,RAJANPUR,H.Sec.,Functional,No,,49.0,,,2009.0,,19,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,13.16,Moderate toilet non-functionality (only 9 of 19 working),False,,29.1002542,70.3378699,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows moderate toilet non-functionality (only 9 of 19 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),35210824,GGHS CDG SHADMAN COLONY,LAHORE,CITY,High,Functional,No,,21.0,,,629.0,,6,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 6,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,16.67,Moderate toilet non-functionality (only 2 of 6 working),False,,31.5831841,74.3184836,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows moderate toilet non-functionality (only 2 of 6 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),35210131,GES BADOKI,LAHORE,MODEL TOWN,Middle,Functional,No,,12.0,,,401.0,,6,6,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Low,15.0,No boundary wall,False,,31.4729999,74.3108542,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (Census),35220183,GPS JANJATTY,LAHORE,RAIWIND,Primary,Functional,No,,4.0,,,151.0,,12,8,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 7,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source),,2,Low - Needs Satellite Verification,Medium,23.33,No boundary wall and moderate toilet non-functionality (only 8 of 12 working),False,,31.2443583,74.2138126,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the census-based data analysis shows no boundary wall and moderate toilet non-functionality (only 8 of 12 working). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. This discrepancy is worth a follow-up review to determine whether the school is operating as reported.",Village-Level
